,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,pitzer_25C,pitzer_25C,pitzer_25C,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,MyAMI,MyAMI,MyAMI,MyAMI,MyAMI,MyAMI,MyAMI,MyAMI,MyAMI,MyAMI,csys_mid,csys_mid,csys_mid,csys_mid,csys_mid,csys_mid,csys_mid,csys_mid,csys_mid,csys_mid,csys_mid,csys_mid,Uncertainties,Uncertainties,Uncertainties,Uncertainties,Uncertainties,Uncertainties
9,2014,22.0,33.1,53.11,10.4,2057,5.11,7.06,0.67,,,403.0,43,"2x standard error, pooled specimens",7.97,0.0,25,,,,,4003.0,This Study,Orbulina,universa,,kh4,6,9.5e-07,1.1e-08,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",have 5 x boron -> beware the alkalinities,572.0,40.0,36.0,9.1,,,This Study,7.831440474827464,4003.0,4516.602689865594,4002.9999999999995,4516.602689865594,249.68447788873797,3713.5282701532615,39.787251958000276,7.848620951071713,300.4567914325946,1756.5432085674051,2057.0,3.999173319683201e-07,4002.9999999999995,4523.823136396545,256.9492109742652,3708.2793244869504,37.771464538784,7.872226052600018,298.31989990940593,1758.680100090594,2057.0,4.0168659520612677e-07,4002.9999999999995,4520.212913131069,253.31684443150158,3710.9037973201057,38.77935824839214,7.860423501835866,299.38834567100025,1757.6116543289995,2057.0,4.0080196358722345e-07,1.3790388403493319e-08,6.573059569141286,68.14357306521664,52.664029469838326,68.14357306521664,27.81949720997404,71.51229423171368,30.703496439992573
10,2014,22.0,33.2,51.78,10.19,1996,5.08,7.58,1.33,,,281.0,68,"2x standard error, pooled specimens",7.67,0.02,25,,,,,3946.0,This Study,Orbulina,universa,,kh5,4,7.24515498800754e-07,1.15814943352917e-08,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",have 5 x boron -> beware the alkalinities,607.0,50.0,32.3,5.2,,,This Study,7.531535209499386,3946.0,4151.096219390821,3946.0,4151.096219390821,125.76697440021175,3740.3066266854103,79.92639891437803,7.549049093818809,157.64904604127804,1838.350953958722,1996.0,4.01426704348472e-07,3946.0,4153.727206659523,127.51199105760436,3742.0628237472324,76.42518519516268,7.569685871787164,155.02290815126142,1840.9770918487386,1996.0,3.967994222547042e-07,3946.0,4152.4117130251725,126.63948272890806,3741.1847252163216,78.17579205477035,7.559367482802987,156.33597709626974,1839.6640229037303,1996.0,3.991130633015881e-07,2.7582429524816773e-08,3.2333101761503737,47.51450131842649,68.0,68.0,34.0,108.20317437966494,40.423573602544835
11,2014,22.0,33.1,51.16,10.1,1973,5.07,6.71,1.13,,,631.0,33,"2x standard error, pooled specimens",7.96,0.02,25,,,,,1061.0,This Study,Orbulina,universa,,kh6,5,6.30555663099243e-07,9.997016324243071e-09,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",have 5 x boron -> beware the alkalinities,611.0,32.0,21.1,8.0,,,This Study,7.821426678838213,1061.0,1394.148398413557,1061.0,1394.148398413557,63.216525321682255,986.7611792657408,11.022295412577003,7.831692450897713,277.84359097034564,1695.156409029654,1973.0,3.999173319683201e-07,1061.0,1395.9827432838943,64.85097461023553,985.810670808094,10.338354581670812,7.859537971764025,277.3033274479554,1695.6966725520444,1973.0,3.92376020859624e-07,1061.0,1395.0655708487257,64.03374996595889,986.2859250369174,10.680324997123908,7.84561521133087,277.57345920915054,1695.4265407908492,1973.0,3.96146676413972e-07,1.4268712539909583e-08,1.6325793277143201,106.69626452643102,36.89512162874653,106.69626452643102,47.71602008527983,132.48091040529505,54.128892758640355
12,2014,22.0,33.2,50.88,10.08,1961,5.05,5.51,0.39,,,460.0,55,"2x standard error, pooled specimens",7.66,0.01,25,,,,,1061.0,This Study,Orbulina,universa,,kh7,8,3.9914094535899e-07,5.9942865758850706e-09,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",have 5 x boron -> beware the alkalinities,620.0,106.0,16.2,6.3,,,This Study,7.521529051538048,1061.0,1221.8436897990625,1061.0,1221.8436897990625,32.421391238088766,1006.2053308036163,22.373277958295127,7.532338689698867,149.25470069166462,1811.7452993083352,1961.0,4.01426704348472e-07,1061.0,1222.8080151287566,33.090487548570444,1006.8084157415636,21.10109670986619,7.558443503098905,148.25832547898054,1812.7416745210194,1961.0,3.9263102488923493e-07,1061.0,1222.3258524639095,32.755939393329605,1006.5068732725899,21.73718733408066,7.545391096398886,148.75651308532258,1812.2434869146773,1961.0,3.9702886461885345e-07,2.84845198790022e-08,0.8316268627011141,77.78174593052023,77.78174593052023,77.78174593052023,27.5,65.02716690278324,29.432903397534037
13,2014,22.0,33.2,50.67,10.03,1942,5.05,5.2,0.99,,,877.0,73,"2x standard error, pooled specimens",8.32,0.01,25,,,,,1061.0,This Study,Orbulina,universa,,kh8,5,8.95829653144408e-07,8.27919246970821e-09,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",have 5 x boron -> beware the alkalinities,596.0,62.0,31.8,6.5,,,This Study,8.181527398483182,1061.0,1730.7166837464993,1061.0,1730.7166837464986,135.60381667264775,920.9190424623303,4.477140865022044,8.192725754243439,531.4131719983136,1410.5868280016864,1942.0,4.01426704348472e-07,1061.0,1732.5304498546448,138.32940878356942,918.4811126304973,4.189478585933468,8.22070964035478,530.1128532155088,1411.887146784491,1942.0,3.915338894342926e-07,1061.0,1731.6235668005716,136.9666127281086,919.7000775464137,4.333309725477756,8.206717697299108,530.7630126069112,1411.2369873930888,1942.0,3.9648029689138235e-07,6.212727464366849e-09,3.464926596438868,148.29258952405706,81.61648117874233,148.29258952405706,66.31846214705295,184.12956961243069,75.23144049021806
14,2014,22.0,33.1,52.28,10.28,1998,5.08,7.39,0.48,,,531.0,22,"2x standard error, pooled specimens",7.95,0.01,25,,,,,2025.0,This Study,Orbulina,universa,,kh9,7,7.86816909389924e-07,4.93399947879436e-09,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",have 5 x boron -> beware the alkalinities,579.0,44.0,36.3,7.1,,,This Study,7.811434692017039,2025.0,2404.241779949097,2025.0,2404.2417799490972,119.45736872314237,1884.1927993675922,21.349831909265657,7.824809329642966,278.06577164238763,1719.9342283576127,1998.0000000000002,3.999173319683201e-07,2025.0,2407.858398253723,122.91620139915236,1881.9404343948356,20.143364206012038,7.850682151991528,276.9482957056052,1721.0517042943948,1998.0000000000002,3.9776263444543664e-07,2025.0,2406.05008910141,121.18678506114736,1883.066616881214,20.74659805763885,7.8377457408172475,277.5070336739964,1720.4929663260036,1998.0000000000002,3.9883998320687836e-07,1.4529620101855237e-08,3.123558827807888,89.78718932414401,29.1032644217105,89.78718932414401,33.9363676958798,83.03930021999952,36.78619722022726
15,2014,22.0,33.2,51.05,5.05,1943,10.11,7.17,0.85,,,759.0,102,"2x standard error, pooled specimens",8.29,0.0,25,,,,,977.0,This Study,Orbulina,universa,,kh10,7,5.78129573792825e-07,1.0688163155568e-08,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",have 5 x boron -> beware the alkalinities,567.0,50.0,19.4,4.4,,,This Study,8.151485769053751,977.0,1595.891055636865,977.0,1595.8910556368655,114.58994527214674,857.9482262987683,4.46182842908494,8.162107261433812,502.1523245742732,1440.8476754257267,1943.0,4.01426704348472e-07,977.0,1588.7454260596576,113.44508863120527,859.3510548726382,4.203856496156652,8.190312134009586,495.66100338104025,1447.33899661896,1943.0,3.675667362056118e-07,977.0,1592.3182408482617,114.017516951676,858.6496405857033,4.332842462620796,8.1762096977217,498.90666397765676,1444.0933360223435,1943.0,3.844967202770419e-07,6.6648488138438505e-09,1.4975120208856143,128.3398807853584,134.9333168642941,134.9333168642941,50.99999999999999,124.7925042883757,55.28275963545049
16,2014,22.0,33.2,51.4,5.06,1968,10.15,12.21,0.9,,,303.0,29,"2x standard error, pooled specimens",7.68,0.01,25,,,,,3972.0,This Study,Orbulina,universa,,kh11,6,6.07655450443222e-07,6.696021527232191e-09,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",have 5 x boron -> beware the alkalinities,559.0,60.0,29.0,2.2,,,This Study,7.541487967590518,3972.0,4178.229433185841,3972.0,4178.229433185841,125.68146784370525,3767.7872642595316,78.53126789676239,7.558978612126991,157.4560830859377,1810.5439169140625,1968.0000000000002,4.01426704348472e-07,3972.0,4173.320011994572,122.52992733078047,3774.1096143852715,75.36045828394775,7.579464023804519,152.49337151908173,1815.5066284809184,1968.0000000000002,3.690192522127668e-07,3972.0,4175.774722590207,124.10569758724286,3770.9484393224016,76.94586309035506,7.569221317965755,154.97472730250973,1813.0252726974904,1968.0000000000002,3.8522297828061943e-07,2.6963650053624286e-08,1.6301593238137377,51.234497862929636,35.51760127035608,51.234497862929636,20.91639616531547,53.76730806999813,23.08476283205397
17,2014,22.0,33.2,51.36,5.08,1959,10.1,10.16,0.68,,,473.0,62,"2x standard error, pooled specimens",7.95,0.0,25,,,,,1985.0,This Study,Orbulina,universa,,kh12,7,7.24812568298444e-07,5.4644953473311705e-09,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",have 5 x boron -> beware the alkalinities,567.0,27.0,28.6,8.7,,,This Study,7.811487905363888,1985.0,2351.658244547909,1984.9999999999998,2351.658244547909,113.80779253481423,1850.277383585937,20.914823879248683,7.824747822883765,270.7354179405783,1688.2645820594216,1958.9999999999998,4.01426704348472e-07,1984.9999999999998,2346.0953519637183,112.27443088543183,1852.9049647198883,19.820604394679652,7.850528939351333,265.51364185604984,1693.48635814395,1958.9999999999998,3.689614478690187e-07,1984.9999999999998,2348.876798255814,113.04111171012303,1851.5911741529126,20.367714136964167,7.837638381117549,268.1245298983141,1690.8754701016858,1958.9999999999998,3.8519407610874536e-07,1.4533212338318381e-08,1.4908039430110729,79.97992570681755,82.01829064300232,82.01829064300232,31.0,75.85426731254209,33.60324605292089
18,2014,22.0,33.2,50.57,21.89,1932,2.31,3.35,0.25,,,511.0,78,"2x standard error, pooled specimens",7.96,0.01,25,,,,,1968.0,This Study,Orbulina,universa,,kh13,5,9.73703519436196e-07,4.25742814262333e-09,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",have 5 x boron -> beware the alkalinities,651.0,83.0,31.9,4.3,,,This Study,7.8216257867202765,1968.0,2355.471902134173,1968.0000000000002,2355.471902134173,125.9085951038777,1821.7957070758307,20.295697820291824,7.835321397999929,278.6290414856768,1653.370958514323,1932.0,4.01426704348472e-07,1968.0000000000002,2374.8542479174716,137.16952851781474,1811.9208613325281,18.909610149657187,7.861288125000413,285.4631320673724,1646.5368679326273,1932.0,4.518707732110715e-07,1968.0000000000002,2365.1630750258223,131.53906181084622,1816.8582842041794,19.602653984974506,7.848304761500171,282.0460867765246,1649.9539132234752,1932.0,4.2664873877977176e-07,1.4180620625925372e-08,6.748854036870157,86.40537428368661,87.2066511224918,87.2066511224918,39.0,108.28135910271415,44.241468878042824
19,2014,22.0,33.2,51.95,10.29,1966,5.05,5.36,0.44,,,483.0,84,"2x standard error, pooled specimens",7.69,0.01,25,,,,,2015.0,This Study,Orbulina,universa,,kh14,7,7.2096174149087e-07,3.0685241392473102e-09,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",have 5 x boron -> beware the alkalinities,573.0,53.0,31.0,6.6,,,This Study,7.551537050833453,2015.0,2204.9456341566824,2014.9999999999998,2204.9456341566834,66.73519093788111,1908.9872025998636,39.277606462255065,7.565404878617122,160.8167050602099,1805.18329493979,1965.9999999999998,4.01426704348472e-07,2014.9999999999998,2206.9861142149884,68.26293316093695,1909.4577058614968,37.27936097756597,7.589254916348617,159.30521857075934,1806.6947814292405,1965.9999999999998,3.979924202792958e-07,2014.9999999999998,2205.9658741858357,67.49906204940903,1909.2224542306803,38.27848371991052,7.577329897482869,160.06096181548463,1805.939038184515,1965.9999999999998,3.997095623138839e-07,2.6464890567300545e-08,1.7376750870498079,81.67083322704624,111.12155506471281,111.12155506471281,42.0,102.77029764925058,45.526978523312174
20,2014,22.0,33.2,51.41,22.2,1960,2.32,5.11,0.54,,,253.0,60,"2x standard error, pooled specimens",7.66,0.02,25,,,,,4057.0,This Study,Orbulina,universa,,kh15,6,9.17909198227967e-07,6.7772245670187205e-09,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",have 5 x boron -> beware the alkalinities,514.0,68.0,32.4,10.8,,,This Study,7.521632709882162,4057.0,4263.504796209239,4057.0,4263.50479620924,134.93193133778144,3837.6999845598216,84.36808410239657,7.539668002242034,154.3243327634867,1805.6756672365134,1960.0,4.01426704348472e-07,4057.0,4282.1203942008915,146.5508107727004,3830.507872178386,79.94131704891363,7.560326077278796,156.95301799164613,1803.046982008354,1960.0,4.56827845204597e-07,4057.0,4272.812595205066,140.7413710552409,3834.103928369104,82.1547005756551,7.549997039760415,155.63867537756641,1804.3613246224336,1960.0,4.291272747765345e-07,2.8184021420016407e-08,7.280959801619208,42.77996026178613,73.48469228349533,73.48469228349533,30.0,77.11745509844218,33.11004818841716
21,2014,22.0,33.1,50.16,22.64,1867,2.22,4.28,1.46,,,927.0,143,"2x standard error, pooled specimens",8.27,0.0,25,,,,,962.0,This Study,Orbulina,universa,,kh16,6,9.16825875475088e-07,1.22173459736619e-08,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",have 5 x boron -> beware the alkalinities,540.0,97.0,28.4,8.1,,,This Study,8.131525437567788,962.0,1556.8464497237478,962.0,1556.8464497237471,117.67620339786627,839.7026353881841,4.6211612139495415,8.14256717876446,475.220023891376,1391.779976108624,1867.0,3.999173319683201e-07,962.0,1580.3589709586909,128.33519769114957,829.4158316009823,4.248970707868006,8.17070978500496,487.90888257656883,1379.0911174234311,1867.0,4.523604502084881e-07,962.0,1568.6027103412189,123.00570054450793,834.5592334945832,4.435065960908774,8.156638481884709,481.5644532339724,1385.4355467660275,1867.0,4.2613889108840406e-07,6.972066457137127e-09,6.535073701475262,156.74712712520056,175.1385166089972,175.1385166089972,71.5,183.79660131795387,78.91228151572757
22,2014,22.0,33.1,51.69,10.14,2280,5.1,5.53,0.74,,,700.0,85,"2x standard error, pooled specimens",8.26,0.01,25,,,,,2010.0,This Study,Orbulina,universa,,kh17,4,1.08011944844796e-06,3.29308364503819e-08,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",have 5 x boron -> beware the alkalinities,550.0,63.0,35.7,14.3,,,This Study,8.121430083108892,2010.0,2800.025672239095,2010.0,2800.025672239094,228.4981646150627,1771.656746488702,9.845088896235252,8.134578782535252,565.0957303871378,1714.9042696128624,2280.0,3.999173319683201e-07,2010.0,2804.769554053896,234.1715342812743,1766.5815524463085,9.24691327241717,8.16133852697807,563.4447172609057,1716.555282739094,2280.0,3.9469455693573535e-07,2010.0,2802.397613146495,231.33484944816848,1769.1191494675054,9.54600108432621,8.14795865475666,564.2702238240217,1715.7297761759783,2280.0,3.973059444520277e-07,7.1128122507211065e-09,5.904103389743422,118.36352641600905,85.0,118.36352641600905,59.181763208004526,188.34278366152213,70.36289296962208
