Year,Temp,Salinity,[Mg]sw,[Ca]sw,[B]sw,Mg/Casw,Mg/Caf,Mg/Caf_err,B/CaCAM,B/CaCAM_err,B/Caf,B/Caf_err,err_type,pHNBS,pHNBS_std,pH_temp,pHTOTAL,pHTOTAL_std,Alk,Alk_std,DIC,Reference,Genus,Species,Type,Sample ID,numberforams,GrowthRate_molm-2s-1,GrowthRate_err,Cleaning Procedure,Notes,size um,size um sd,test thickness um,test thickness um sd,weight ug,weight ug sd,
2014,22,33.2,51.78,10.19,1996,5.08,7.58,1.33,,,281,68,"2x standard error, pooled specimens",7.67,0.02,25,,,,,3946,This Study,Orbulina,universa,,kh5,4,7.24515498800754E-07,1.15814943352917E-08,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",have 5 x boron -> beware the alkalinities,607,50,32.3,5.2,,,
2014,22,33.1,51.16,10.1,1973,5.07,6.71,1.13,,,631,33,"2x standard error, pooled specimens",7.96,0.02,25,,,,,1061,This Study,Orbulina,universa,,kh6,5,6.30555663099243E-07,9.99701632424307E-09,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",have 5 x boron -> beware the alkalinities,611,32,21.1,8,,,
2014,22,33.2,50.88,10.08,1961,5.05,5.51,0.39,,,460,55,"2x standard error, pooled specimens",7.66,0.01,25,,,,,1061,This Study,Orbulina,universa,,kh7,8,3.9914094535899E-07,5.99428657588507E-09,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",have 5 x boron -> beware the alkalinities,620,106,16.2,6.3,,,
2014,22,33.2,50.67,10.03,1942,5.05,5.2,0.99,,,877,73,"2x standard error, pooled specimens",8.32,0.01,25,,,,,1061,This Study,Orbulina,universa,,kh8,5,8.95829653144408E-07,8.27919246970821E-09,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",have 5 x boron -> beware the alkalinities,596,62,31.8,6.5,,,
2014,22,33.1,52.28,10.28,1998,5.08,7.39,0.48,,,531,22,"2x standard error, pooled specimens",7.95,0.01,25,,,,,2025,This Study,Orbulina,universa,,kh9,7,7.86816909389924E-07,4.93399947879436E-09,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",have 5 x boron -> beware the alkalinities,579,44,36.3,7.1,,,
2014,22,33.2,51.05,5.05,1943,10.11,7.17,0.85,,,759,102,"2x standard error, pooled specimens",8.29,0,25,,,,,977,This Study,Orbulina,universa,,kh10,7,5.78129573792825E-07,1.0688163155568E-08,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",have 5 x boron -> beware the alkalinities,567,50,19.4,4.4,,,
2014,22,33.2,51.4,5.06,1968,10.15,12.21,0.9,,,303,29,"2x standard error, pooled specimens",7.68,0.01,25,,,,,3972,This Study,Orbulina,universa,,kh11,6,6.07655450443222E-07,6.69602152723219E-09,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",have 5 x boron -> beware the alkalinities,559,60,29,2.2,,,
2014,22,33.2,51.36,5.08,1959,10.1,10.16,0.68,,,473,62,"2x standard error, pooled specimens",7.95,0,25,,,,,1985,This Study,Orbulina,universa,,kh12,7,7.24812568298444E-07,5.46449534733117E-09,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",have 5 x boron -> beware the alkalinities,567,27,28.6,8.7,,,
2014,22,33.2,50.57,21.89,1932,2.31,3.35,0.25,,,511,78,"2x standard error, pooled specimens",7.96,0.01,25,,,,,1968,This Study,Orbulina,universa,,kh13,5,9.73703519436196E-07,4.25742814262333E-09,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",have 5 x boron -> beware the alkalinities,651,83,31.9,4.3,,,
2014,22,33.2,51.95,10.29,1966,5.05,5.36,0.44,,,483,84,"2x standard error, pooled specimens",7.69,0.01,25,,,,,2015,This Study,Orbulina,universa,,kh14,7,7.2096174149087E-07,3.06852413924731E-09,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",have 5 x boron -> beware the alkalinities,573,53,31,6.6,,,
2014,22,33.2,51.41,22.2,1960,2.32,5.11,0.54,,,253,60,"2x standard error, pooled specimens",7.66,0.02,25,,,,,4057,This Study,Orbulina,universa,,kh15,6,9.17909198227967E-07,6.77722456701872E-09,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",have 5 x boron -> beware the alkalinities,514,68,32.4,10.8,,,
2014,22,33.1,50.16,22.64,1867,2.22,4.28,1.46,,,927,143,"2x standard error, pooled specimens",8.27,0,25,,,,,962,This Study,Orbulina,universa,,kh16,6,9.16825875475088E-07,1.22173459736619E-08,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",have 5 x boron -> beware the alkalinities,540,97,28.4,8.1,,,
2014,22,33.1,51.69,10.14,2280,5.1,5.53,0.74,,,700,85,"2x standard error, pooled specimens",8.26,0.01,25,,,,,2010,This Study,Orbulina,universa,,kh17,4,1.08011944844796E-06,3.29308364503819E-08,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",have 5 x boron -> beware the alkalinities,550,63,35.7,14.3,,,
2014,22,33.2,49.75,21.58,1915,2.31,3.81,0.43,,,610,75,"2x standard error, pooled specimens",7.63,0,25,,,,,898,This Study,Orbulina,universa,,kh19,8,7.01309073542863E-07,2.84083212549359E-09,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",have 5 x boron -> beware the alkalinities,550,103,19.7,6.3,,,
2014,22,33.2,50.27,5.03,1925,10,12.45,0.84,,,353,22,"2x standard error, pooled specimens",8.26,0,25,,,,,3908,This Study,Orbulina,universa,,kh20,6,9.56986549025582E-07,1.37408548950455E-08,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",have 5 x boron -> beware the alkalinities,591,70,42.3,17.2,,,
2014,22,33.1,50.78,10.09,1904,5.04,4.86,0.52,,,1100,99,"2x standard error, pooled specimens",8.65,0.02,25,,,,,966,This Study,Orbulina,universa,,kh22,6,6.94958946221469E-07,1.00486971994286E-08,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",have 5 x boron -> beware the alkalinities,485,56,23.6,2.9,,,
2014,22,33.1,51.96,10.2,1965,5.09,10.16,1.35,,,213,37,"2x standard error, pooled specimens",7.67,0.01,25,,,,,7993,This Study,Orbulina,universa,,kh23,5,7.25140906216369E-07,8.02222153429507E-09,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",have 5 x boron -> beware the alkalinities,630,111,34.2,4.4,,,
2014,22,33.3,50.15,5,1991,10.03,8.82,0.5,,,250,125,"2x standard error, pooled specimens",7.64,0.01,25,,,,,2017,This Study,Orbulina,universa,,kh24,6,9.41920198391757E-07,4.48516630457923E-09,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",have 5 x boron -> beware the alkalinities,565,100,23.6,6.2,,,
2014,22,33.2,51.96,22,1895,2.36,3.42,0.82,,,587,38,"2x standard error, pooled specimens",8.27,0,25,,,,,2000,This Study,Orbulina,universa,,kh25,6,9.78808378399463E-07,6.43210381417133E-09,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",have 5 x boron -> beware the alkalinities,524,35,30.8,3.7,,,
2013,22,33.3,51.2,9.87,2179,5.19,6.77,1.47,,,396,9,"2x standard error, pooled specimens",8.08,0.01,25,,,4664,10,,This Study,Orbulina,universa,,high DIC,3,0.000000675,0.0000000155,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",,,,27,7,,,
2013,22,33.3,51.2,9.87,790,5.19,4.66,2.04,,,231,34,"2x standard error, pooled specimens",8.05,0.01,25,,,1230,,,This Study,Orbulina,universa,,low DIC,3,0.000000403,0.000000047,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",,,,12.4,2.6,,,
2013,22,33.3,51.2,9.87,2179,5.19,5.3,1.1,,,708,142,"2x standard error, pooled specimens",8.54,0.01,25,,,3408,5,,This Study,Orbulina,universa,,high pH,3,0.000000635,0.000000148,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",,,,29.3,5,,,
2013,22,33.3,51.2,9.87,2179,5.19,5.45,2.96,,,377,39,"2x standard error, pooled specimens",7.6,0.01,25,,,2054,,,This Study,Orbulina,universa,,low pH,2,0.0000005565,0.0000000995,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",,,,16,5,,,
2013,21.9,33.1,28.2,18.5,367,1.52,2.5,0.04,,,90,6,2x longterm RSD of analysis method,7.85,0.03,25,,,1069,11,,Haynes et al. (2017),Orbulina,universa,,LH3a,3,1.58489319246111E-09,,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",have < boron -> beware the alkalinities,812,21,,,108,14,
2013,21.9,33.1,28.2,18.5,367,1.52,,,,,85,6,2x longterm RSD of analysis method,7.85,0.03,25,,,1069,11,,Haynes et al. (2017),Orbulina,universa,,LH3b,15,2.51188643150958E-09,,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",,534,60,,,28,11,
2013,21.6,33.1,28.2,18.9,361,1.49,3.26,0.05,,,44,3,2x longterm RSD of analysis method,7.93,0.02,25,,,2197,7,,Haynes et al. (2017),Orbulina,universa,,LH2,15,3.16227766016838E-09,,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",have < boron -> beware the alkalinities,564,51,,,46,15,
2013,21.6,33.1,28.2,18.9,361,1.49,2.93,0.05,,,53,4,2x longterm RSD of analysis method,7.93,0.02,25,,,2197,7,,Haynes et al. (2017),Orbulina,universa,,LH2,15,3.16227766016838E-09,,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",have < boron -> beware the alkalinities,564,51,,,46,15,
2013,21.9,33.2,28.8,18.6,367,1.55,3.77,0.06,,,50,3,2x longterm RSD of analysis method,7.88,0.02,25,,,3143,15,,Haynes et al. (2017),Orbulina,universa,,LH4,14,3.16227766016838E-09,,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",have < boron -> beware the alkalinities,562,85,,,53,23,
2013,21.9,33.2,28.8,18.6,367,1.55,3.57,0.06,,,50,3,2x longterm RSD of analysis method,7.88,0.02,25,,,3143,15,,Haynes et al. (2017),Orbulina,universa,,LH4,14,3.16227766016838E-09,,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",have < boron -> beware the alkalinities,562,85,,,53,23,
2013,21.6,33.2,27.9,18.2,359,1.53,4.24,0.07,,,36,2,2x longterm RSD of analysis method,7.9,0.03,25,,,4181,20,,Haynes et al. (2017),Orbulina,universa,,LH5,15,3.16227766016838E-09,,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",have < boron -> beware the alkalinities,581,60,,,67,23,
2013,21.6,33.2,27.9,18.2,359,1.53,4.35,0.07,,,45,3,2x longterm RSD of analysis method,7.9,0.03,25,,,4181,20,,Haynes et al. (2017),Orbulina,universa,,LH5,15,3.16227766016838E-09,,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",have < boron -> beware the alkalinities,581,60,,,67,23,
2013,21.6,33.2,27.9,18.2,359,1.53,3.9,0.06,,,45,3,2x longterm RSD of analysis method,7.9,0.03,25,,,4181,20,,Haynes et al. (2017),Orbulina,universa,,LH5,15,3.16227766016838E-09,,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",have < boron -> beware the alkalinities,581,60,,,67,23,
2015,25.9,37.5,54,20.8,446,2.6,4.88,0.08,,,63,4,2x longterm RSD of analysis method,8.17,0.02,25,,,2404,9,,Haynes et al. (2017),Orbulina,universa,,KD1,7,3.16227766016838E-09,,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",,627,24,,,70,17,
2015,25.9,37.5,54,20.8,446,2.6,5.38,0.09,,,76,5,2x longterm RSD of analysis method,8.17,0.02,25,,,2404,9,,Haynes et al. (2017),Orbulina,universa,,KD1,7,3.98107170553497E-09,,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",,566,27,,,55,12,
2015,25.9,37.1,54.3,15.8,441,3.44,6.2,0.1,,,79,5,2x longterm RSD of analysis method,8.17,0.02,25,,,2393,8,,Haynes et al. (2017),Orbulina,universa,,KD2,6,3.98107170553497E-09,,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",,635,23,,,79,24,
2015,25.9,37.1,54.3,15.8,441,3.44,6.56,0.1,,,83,5,2x longterm RSD of analysis method,8.17,0.02,25,,,2393,8,,Haynes et al. (2017),Orbulina,universa,,KD2,7,3.98107170553497E-09,,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",,562,34,,,58,16,
2015,25.9,36.5,54.3,10.8,434,5.03,7.64,0.12,,,70,5,2x longterm RSD of analysis method,8.21,0,25,,,2377,5,,Haynes et al. (2017),Orbulina,universa,,BH6,6,3.16227766016838E-09,,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",,636,24,,,57,13,
2015,25.9,36.5,54.3,10.8,434,5.03,7.87,0.13,,,72,5,2x longterm RSD of analysis method,8.21,0,25,,,2377,5,,Haynes et al. (2017),Orbulina,universa,,BH6,6,3.98107170553497E-09,,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",,550,16,,,48,6,
2015,25.9,36.5,54.3,10.8,434,5.03,6.84,0.11,,,68,5,2x longterm RSD of analysis method,8.21,0,25,,,2377,5,,Haynes et al. (2017),Orbulina,universa,,BH6,6,3.98107170553497E-09,,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",,590,10,,,47,8,
2013,21.6,33.2,28.1,18.3,359,1.54,3.88,0.03,,,48,3,2x longterm RSD of analysis method,7.62,0.02,25,,,2031,20,,Haynes et al. (2017),Orbulina,universa,,LH 6,11,3.16227766016838E-09,,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",,513,80,,,33,11,
2013,21.9,33.3,28.5,18.6,365,1.53,3.4,0.03,,,63,4,2x longterm RSD of analysis method,7.98,0.02,25,,,2156,7,,Haynes et al. (2017),Orbulina,universa,,LH 7,9,3.98107170553497E-09,,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",,478,65,,,36,16,
2013,21.6,33.1,28.3,18.4,364,1.54,2.91,0.02,,,74,5,2x longterm RSD of analysis method,8.28,0.07,25,,,2371,15,,Haynes et al. (2017),Orbulina,universa,,LH 11a,5,3.98107170553497E-09,,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",,578,15,,,42,7,
2013,21.6,33.1,28.3,18.4,364,1.54,3.37,0.03,,,71,5,2x longterm RSD of analysis method,8.28,0.07,25,,,2371,15,,Haynes et al. (2017),Orbulina,universa,,LH 11b,5,5.01187233627271E-09,,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",,542,16,,,42,6,
2013,21.6,33.1,27.3,17.7,348,1.54,4.56,0.04,,,44,3,2x longterm RSD of analysis method,7.63,0.03,25,,,3035,13,,Haynes et al. (2017),Orbulina,universa,,LH 8,17,3.98107170553497E-09,,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",,528,59,,,41,7,
2013,21.6,33.2,28,18.2,359,1.54,,,,,53,4,2x longterm RSD of analysis method,7.94,0.14,25,,,3213,7,,Haynes et al. (2017),Orbulina,universa,,LH 9b,14,1.99526231496888E-09,,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",,532,44,,,41,12,
2013,21.6,33.2,28,18.2,359,1.54,,,,,55,4,2x longterm RSD of analysis method,7.94,0.14,25,,,3213,7,,Haynes et al. (2017),Orbulina,universa,,Lh9a,2,5.01187233627271E-09,,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",,855,15,,,190,20,
2013,21.92,33.1,49.41,9.58,207,5.16,,,,,27,2,2x longterm RSD of analysis method,8.02,0.02,25,,,2179,17,,Haynes et al. (2017),Orbulina,universa,,LH13a,22,3.16227766016838E-09,,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",,561,47,,,43,11,
2013,21.92,33.1,49.41,9.58,207,5.16,,,,,30,2,2x longterm RSD of analysis method,8.02,0.02,25,,,2179,17,,Haynes et al. (2017),Orbulina,universa,,LH13b,22,3.16227766016838E-09,,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",,561,47,,,43,11,
2013,21.92,33.3,50.2,9.73,596,5.16,,,,,102,7,2x longterm RSD of analysis method,8.04,0.02,25,,,2247,4,,Haynes et al. (2017),Orbulina,universa,,LH14,9,1.99526231496888E-09,,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",,566,70,,,50,23,
2013,21.64,33.1,50.92,9.87,812,5.16,,,,,172,11,2x longterm RSD of analysis method,8.04,0.02,25,,,2291,8,,Haynes et al. (2017),Orbulina,universa,,LH15a,11,3.16227766016838E-09,,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",,552,39,,,39,11,
2013,21.64,33.1,50.92,9.87,812,5.16,,,,,164,11,2x longterm RSD of analysis method,8.04,0.02,25,,,2291,8,,Haynes et al. (2017),Orbulina,universa,,LH15b,11,3.16227766016838E-09,,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",,552,39,,,39,11,
2015,26,35.8,30.6,20.7,381,1.48,,,,,92,6,2x longterm RSD of analysis method,8,0.04,25,,,2162,7,,Haynes et al. (2019),Trilobatus,sacculifer,,LH 1SA,8,,,,,666,36,,,35,1,
2015,26,35.7,30.6,20.7,384,1.48,,,,,96,6,2x longterm RSD of analysis method,8.03,0.06,25,,,2158,19,,Haynes et al. (2019),Trilobatus,sacculifer,,LH 1SB,6,,,,,754,33,,,48,3,
2015,26,35.9,30.6,20.9,390,1.46,,,,,97,6,2x longterm RSD of analysis method,8.18,0.01,25,,,2263,8,,Haynes et al. (2019),Trilobatus,sacculifer,,LH 9S,13,,,,,656,39,,,41,1,
2015,25.9,35.8,31.1,20.8,383,1.5,,,,,63,4,2x longterm RSD of analysis method,7.69,0.05,25,,,3001,9,,Haynes et al. (2019),Trilobatus,sacculifer,,LH 4S,10,,,,,677,53,,,53,1,
2015,26,35.8,31,20.8,387,1.49,,,,,78,5,2x longterm RSD of analysis method,8.03,0.03,25,,,3184,12,,Haynes et al. (2019),Trilobatus,sacculifer,,LH 10SA,7,,,,,643,27,,,52,2,
2015,26,35.8,31,20.8,387,1.49,,,,,87,6,2x longterm RSD of analysis method,8.03,0.03,25,,,3184,12,,Haynes et al. (2019),Trilobatus,sacculifer,,LH 10SB,5,,,,,697,65,,,53,2,
2015,26,35.8,31,20.8,387,1.49,,,,,78,5,2x longterm RSD of analysis method,8.03,0.03,25,,,3184,12,,Haynes et al. (2019),Trilobatus,sacculifer,,LH 10SC,5,,,,,784,46,,,65,2,
2015,26.05,35.9,31,20.8,386,1.49,,,,,120,8,2x longterm RSD of analysis method,8.04,0.03,25,,,1631,10,,Haynes et al. (2019),Trilobatus,sacculifer,,LH 12SA,8,,,,,773,48,,,63,3,
2015,26.05,35.9,31,20.8,386,1.49,,,,,126,8,2x longterm RSD of analysis method,8.04,0.03,25,,,1631,10,,Haynes et al. (2019),Trilobatus,sacculifer,,LH12 SB,12,,,,,650,45,,,37,1,
2015,25.87,37.3,55.2,20.8,428,2.65,,,,,108,7,2x longterm RSD of analysis method,8.18,0.03,25,,,2395,4,,Haynes et al. (2019),Trilobatus,sacculifer,,LH 5SA,6,,,,,795,22,,,81,3,
